t,Date,Price,Summer_delta,Weekday,Hour,Available
0,2007-01-01 00:00:00,24.31,6,0,0,1
1,2007-01-01 01:00:00,24.31,6,0,1,1
2,2007-01-01 02:00:00,21.71,6,0,2,1
3,2007-01-01 03:00:00,8.42,6,0,3,1
4,2007-01-01 04:00:00,0.01,6,0,4,1
5,2007-01-01 05:00:00,0.01,6,0,5,1
6,2007-01-01 06:00:00,0.02,6,0,6,1
7,2007-01-01 07:00:00,0.01,6,0,7,1
8,2007-01-01 08:00:00,0.01,6,0,8,1
9,2007-01-01 09:00:00,6.31,6,0,9,1
10,2007-01-01 10:00:00,7.81,6,0,10,1
11,2007-01-01 11:00:00,9.31,6,0,11,1
12,2007-01-01 12:00:00,21.7,6,0,12,1
13,2007-01-01 13:00:00,14.01,6,0,13,1
14,2007-01-01 14:00:00,15.0,6,0,14,1
15,2007-01-01 15:00:00,10.0,6,0,15,1
16,2007-01-01 16:00:00,8.17,6,0,16,1
17,2007-01-01 17:00:00,27.77,6,0,17,1
18,2007-01-01 18:00:00,37.99,6,0,18,1
19,2007-01-01 19:00:00,33.11,6,0,19,1
20,2007-01-01 20:00:00,37.99,6,0,20,1
21,2007-01-01 21:00:00,33.0,6,0,21,1
22,2007-01-01 22:00:00,36.48,6,0,22,1
23,2007-01-01 23:00:00,30.65,6,0,23,1
24,2007-01-02 00:00:00,16.01,6,1,0,1
25,2007-01-02 01:00:00,11.0,6,1,1,1
26,2007-01-02 02:00:00,9.01,6,1,2,1
27,2007-01-02 03:00:00,7.5,6,1,3,1
28,2007-01-02 04:00:00,9.0,6,1,4,1
29,2007-01-02 05:00:00,7.45,6,1,5,1
30,2007-01-02 06:00:00,16.5,6,1,6,1
31,2007-01-02 07:00:00,28.01,6,1,7,1
32,2007-01-02 08:00:00,29.96,6,1,8,1
33,2007-01-02 09:00:00,39.6,6,1,9,1
34,2007-01-02 10:00:00,48.15,6,1,10,1
35,2007-01-02 11:00:00,49.93,6,1,11,1
36,2007-01-02 12:00:00,49.0,6,1,12,1
37,2007-01-02 13:00:00,46.01,6,1,13,1
38,2007-01-02 14:00:00,37.57,6,1,14,1
39,2007-01-02 15:00:00,36.45,6,1,15,1
40,2007-01-02 16:00:00,37.99,6,1,16,1
41,2007-01-02 17:00:00,53.0,6,1,17,1
42,2007-01-02 18:00:00,59.69,6,1,18,1
43,2007-01-02 19:00:00,50.09,6,1,19,1
44,2007-01-02 20:00:00,50.0,6,1,20,1
45,2007-01-02 21:00:00,36.22,6,1,21,1
46,2007-01-02 22:00:00,31.09,6,1,22,1
47,2007-01-02 23:00:00,29.84,6,1,23,1
48,2007-01-03 00:00:00,28.0,6,2,0,1
49,2007-01-03 01:00:00,24.5,6,2,1,1
50,2007-01-03 02:00:00,24.15,6,2,2,1
51,2007-01-03 03:00:00,18.99,6,2,3,1
52,2007-01-03 04:00:00,15.5,6,2,4,1
53,2007-01-03 05:00:00,23.11,6,2,5,1
54,2007-01-03 06:00:00,29.01,6,2,6,1
55,2007-01-03 07:00:00,39.73,6,2,7,1
56,2007-01-03 08:00:00,43.81,6,2,8,0
57,2007-01-03 09:00:00,49.09,6,2,9,0
58,2007-01-03 10:00:00,51.0,6,2,10,0
59,2007-01-03 11:00:00,53.04,6,2,11,0
60,2007-01-03 12:00:00,49.99,6,2,12,0
61,2007-01-03 13:00:00,47.0,6,2,13,0
62,2007-01-03 14:00:00,43.21,6,2,14,0
63,2007-01-03 15:00:00,43.99,6,2,15,0
64,2007-01-03 16:00:00,48.0,6,2,16,0
65,2007-01-03 17:00:00,57.0,6,2,17,0
66,2007-01-03 18:00:00,60.99,6,2,18,1
67,2007-01-03 19:00:00,55.51,6,2,19,1
68,2007-01-03 20:00:00,51.77,6,2,20,1
69,2007-01-03 21:00:00,34.51,6,2,21,1
70,2007-01-03 22:00:00,39.31,6,2,22,1
71,2007-01-03 23:00:00,38.05,6,2,23,1
72,2007-01-04 00:00:00,31.01,6,3,0,1
73,2007-01-04 01:00:00,28.69,6,3,1,1
74,2007-01-04 02:00:00,27.0,6,3,2,1
75,2007-01-04 03:00:00,24.2,6,3,3,1
76,2007-01-04 04:00:00,12.02,6,3,4,1
77,2007-01-04 05:00:00,27.0,6,3,5,1
78,2007-01-04 06:00:00,28.0,6,3,6,1
79,2007-01-04 07:00:00,34.85,6,3,7,1
80,2007-01-04 08:00:00,41.31,6,3,8,1
81,2007-01-04 09:00:00,42.03,6,3,9,1
82,2007-01-04 10:00:00,46.0,6,3,10,1
83,2007-01-04 11:00:00,45.96,6,3,11,1
84,2007-01-04 12:00:00,45.6,6,3,12,1
85,2007-01-04 13:00:00,42.35,6,3,13,1
86,2007-01-04 14:00:00,40.01,6,3,14,1
87,2007-01-04 15:00:00,38.0,6,3,15,1
88,2007-01-04 16:00:00,42.66,6,3,16,1
89,2007-01-04 17:00:00,53.0,6,3,17,1
90,2007-01-04 18:00:00,58.99,6,3,18,1
91,2007-01-04 19:00:00,53.5,6,3,19,1
92,2007-01-04 20:00:00,44.01,6,3,20,1
93,2007-01-04 21:00:00,35.0,6,3,21,1
94,2007-01-04 22:00:00,34.46,6,3,22,1
95,2007-01-04 23:00:00,31.57,6,3,23,1
96,2007-01-05 00:00:00,22.0,6,4,0,1
97,2007-01-05 01:00:00,19.5,6,4,1,1
98,2007-01-05 02:00:00,17.55,6,4,2,1
99,2007-01-05 03:00:00,15.91,6,4,3,1
100,2007-01-05 04:00:00,11.4,6,4,4,1
101,2007-01-05 05:00:00,22.65,6,4,5,1
102,2007-01-05 06:00:00,27.3,6,4,6,1
103,2007-01-05 07:00:00,34.0,6,4,7,1
104,2007-01-05 08:00:00,40.01,6,4,8,0
105,2007-01-05 09:00:00,45.0,6,4,9,0
106,2007-01-05 10:00:00,50.34,6,4,10,0
107,2007-01-05 11:00:00,49.84,6,4,11,0
108,2007-01-05 12:00:00,48.81,6,4,12,0
109,2007-01-05 13:00:00,47.94,6,4,13,0
110,2007-01-05 14:00:00,40.06,6,4,14,0
111,2007-01-05 15:00:00,38.0,6,4,15,0
112,2007-01-05 16:00:00,38.61,6,4,16,0
113,2007-01-05 17:00:00,49.84,6,4,17,0
114,2007-01-05 18:00:00,53.0,6,4,18,1
115,2007-01-05 19:00:00,45.91,6,4,19,1
116,2007-01-05 20:00:00,36.74,6,4,20,1
117,2007-01-05 21:00:00,29.61,6,4,21,1
118,2007-01-05 22:00:00,30.61,6,4,22,1
119,2007-01-05 23:00:00,27.51,6,4,23,1
120,2007-01-06 00:00:00,25.0,6,5,0,1
121,2007-01-06 01:00:00,22.99,6,5,1,1
122,2007-01-06 02:00:00,20.99,6,5,2,1
123,2007-01-06 03:00:00,18.0,6,5,3,1
124,2007-01-06 04:00:00,16.95,6,5,4,1
125,2007-01-06 05:00:00,20.01,6,5,5,1
126,2007-01-06 06:00:00,20.0,6,5,6,1
127,2007-01-06 07:00:00,25.57,6,5,7,1
128,2007-01-06 08:00:00,27.69,6,5,8,1
129,2007-01-06 09:00:00,29.61,6,5,9,1
130,2007-01-06 10:00:00,31.99,6,5,10,1
131,2007-01-06 11:00:00,33.07,6,5,11,1
132,2007-01-06 12:00:00,35.99,6,5,12,1
133,2007-01-06 13:00:00,33.11,6,5,13,1
134,2007-01-06 14:00:00,31.3,6,5,14,1
135,2007-01-06 15:00:00,29.29,6,5,15,1
